Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód MOP;Název MOP;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
78030226;538647;Postøižín;;;;;126209;Postøižín;2090449;Ježková;è.p.;563;;;25070;743583.26;1026489.12;2018-02-16T00:00:00
78030676;538647;Postøižín;;;;;126209;Postøižín;418480;Dlouhá;è.p.;365;;;25070;743163.04;1026765.89;2018-02-16T00:00:00
78031028;538647;Postøižín;;;;;126209;Postøižín;1197622;Kozomínská;è.p.;424;;;25070;743406.68;1026661.63;2018-02-16T00:00:00
78132592;538647;Postøižín;;;;;126209;Postøižín;809551;Duhová;è.p.;390;;;25070;743347.87;1026318.80;2018-03-16T00:00:00
78244978;538647;Postøižín;;;;;126209;Postøižín;1197860;F. J. Suka;è.p.;492;;;25070;743601.50;1026606.32;2018-04-12T00:00:00
78245061;538647;Postøižín;;;;;126209;Postøižín;1197622;Kozomínská;è.p.;542;;;25070;743478.95;1026520.68;2018-04-12T00:00:00
78277671;538647;Postøižín;;;;;126209;Postøižín;2090449;Ježková;è.p.;557;;;25070;743608.26;1026492.95;2018-04-20T00:00:00
78277809;538647;Postøižín;;;;;126209;Postøižín;1198173;V Jezírkách;è.p.;535;;;25070;743547.61;1026544.75;2018-04-20T00:00:00
78383927;538647;Postøižín;;;;;126209;Postøižín;1197622;Kozomínská;è.p.;538;;;25070;743487.78;1026553.07;2018-05-31T00:00:00
78384389;538647;Postøižín;;;;;126209;Postøižín;1198173;V Jezírkách;è.p.;526;;;25070;743580.84;1026556.43;2018-06-07T00:00:00
78394562;538647;Postøižín;;;;;126209;Postøižín;1198173;V Jezírkách;è.p.;522;;;25070;743611.96;1026565.36;2018-05-31T00:00:00
78399122;538647;Postøižín;;;;;126209;Postøižín;1198173;V Jezírkách;è.p.;528;;;25070;743573.20;1026553.79;2018-06-04T00:00:00
78406773;538647;Postøižín;;;;;126209;Postøižín;814431;Polní;è.p.;330;;;25070;742946.36;1026847.69;2018-06-05T00:00:00
78433312;538647;Postøižín;;;;;126209;Postøižín;1167472;Zlonèická;è.p.;486;;;25070;743597.85;1026661.74;2018-06-14T00:00:00
78448476;538647;Postøižín;;;;;126209;Postøižín;2090449;Ježková;è.p.;562;;;25070;743589.45;1026469.57;2018-06-19T00:00:00
78458391;538647;Postøižín;;;;;126209;Postøižín;1197622;Kozomínská;è.p.;581;;;25070;743517.67;1026423.02;2018-06-22T00:00:00
78458731;538647;Postøižín;;;;;126209;Postøižín;1197622;Kozomínská;è.p.;541;;;25070;743503.02;1026525.25;2018-06-22T00:00:00
78459940;538647;Postøižín;;;;;126209;Postøižín;2090449;Ježková;è.p.;572;;;25070;743450.55;1026443.07;2018-06-25T00:00:00
78546737;538647;Postøižín;;;;;126209;Postøižín;809551;Duhová;è.p.;381;;;25070;743331.32;1026306.14;2018-07-26T00:00:00
78546923;538647;Postøižín;;;;;126209;Postøižín;809551;Duhová;è.p.;380;;;25070;743341.29;1026300.80;2018-07-24T00:00:00
78553776;538647;Postøižín;;;;;126209;Postøižín;1197622;Kozomínská;è.p.;582;;;25070;743544.57;1026429.32;2018-07-26T00:00:00
78554152;538647;Postøižín;;;;;126209;Postøižín;2090449;Ježková;è.p.;573;;;25070;743457.43;1026444.33;2018-07-26T00:00:00
78587760;538647;Postøižín;;;;;126209;Postøižín;1197622;Kozomínská;è.p.;544;;;25070;743480.11;1026513.75;2018-08-09T00:00:00
78588715;538647;Postøižín;;;;;126209;Postøižín;2085445;Jelení;è.p.;499;;;25070;743643.14;1026515.88;2018-08-09T00:00:00
78588812;538647;Postøižín;;;;;126209;Postøižín;1197622;Kozomínská;è.p.;546;;;25070;743481.35;1026504.90;2018-08-09T00:00:00
78589207;538647;Postøižín;;;;;126209;Postøižín;1197622;Kozomínská;è.p.;589;;;25070;743541.41;1026402.13;2018-08-09T00:00:00
78589240;538647;Postøižín;;;;;126209;Postøižín;1197622;Kozomínská;è.p.;548;;;25070;743482.51;1026497.50;2018-08-09T00:00:00
78589274;538647;Postøižín;;;;;126209;Postøižín;1197622;Kozomínská;è.p.;584;;;25070;743552.39;1026426.73;2018-08-10T00:00:00
78604150;538647;Postøižín;;;;;126209;Postøižín;1197860;F. J. Suka;è.p.;462;;;25070;743535.80;1026637.73;2018-08-15T00:00:00
78722845;538647;Postøižín;;;;;126209;Postøižín;1198173;V Jezírkách;è.p.;531;;;25070;743547.38;1026564.30;2018-09-27T00:00:00
78752400;538647;Postøižín;;;;;126209;Postøižín;1197622;Kozomínská;è.p.;551;;;25070;743505.70;1026482.65;2018-10-09T00:00:00
78752493;538647;Postøižín;;;;;126209;Postøižín;1197622;Kozomínská;è.p.;552;;;25070;743485.24;1026480.66;2018-10-09T00:00:00
78752558;538647;Postøižín;;;;;126209;Postøižín;1198173;V Jezírkách;è.p.;536;;;25070;743531.96;1026539.37;2018-10-09T00:00:00
78781833;538647;Postøižín;;;;;126209;Postøižín;2090449;Ježková;è.p.;559;;;25070;743599.65;1026490.77;2018-10-18T00:00:00
78781990;538647;Postøižín;;;;;126209;Postøižín;1197622;Kozomínská;è.p.;570;;;25070;743532.32;1026449.26;2018-10-18T00:00:00
78916836;538647;Postøižín;;;;;126209;Postøižín;1198173;V Jezírkách;è.p.;534;;;25070;743525.39;1026556.63;2018-11-28T00:00:00
78917018;538647;Postøižín;;;;;126209;Postøižín;2090449;Ježková;è.p.;558;;;25070;743613.45;1026475.26;2018-11-28T00:00:00
78917620;538647;Postøižín;;;;;126209;Postøižín;2090449;Ježková;è.p.;577;;;25070;743491.51;1026448.65;2018-11-28T00:00:00
78927846;538647;Postøižín;;;;;126209;Postøižín;2090449;Ježková;è.p.;575;;;25070;743475.62;1026445.72;2018-11-29T00:00:00
78928231;538647;Postøižín;;;;;126209;Postøižín;2090449;Ježková;è.p.;565;;;25070;743562.77;1026496.33;2018-11-29T00:00:00
78928427;538647;Postøižín;;;;;126209;Postøižín;1197622;Kozomínská;è.p.;553;;;25070;743510.50;1026476.82;2018-11-29T00:00:00
78928613;538647;Postøižín;;;;;126209;Postøižín;1198173;V Jezírkách;è.p.;521;;;25070;743619.30;1026567.84;2018-11-29T00:00:00
79002838;538647;Postøižín;;;;;126209;Postøižín;1197622;Kozomínská;è.p.;539;;;25070;743495.61;1026547.45;2018-12-20T00:00:00
